   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1596   0.0251   0.0000    0.0000    0.0000
 0.020   0.1572   0.0266   0.0000    0.0000    0.0000
 0.040   0.1517   0.0292   0.0000    0.0000    0.0000
 0.060   0.1464   0.0320   0.0000    0.0000    0.0000
 0.080   0.1421   0.0350   0.0000    0.0000    0.0000
 0.100   0.1385   0.0380   0.0000    0.0000    0.0000
 0.120   0.1355   0.0410   0.0000    0.0000    0.0000
 0.140   0.1331   0.0440   0.0000    0.0000    0.0000
 0.160   0.1310   0.0470   0.0000    0.0000    0.0000
 0.180   0.1292   0.0500   0.0000    0.0000    0.0000
 0.200   0.1277   0.0530   0.0000    0.0000    0.0000
 0.220   0.1264   0.0560   0.0000    0.0000    0.0000
 0.240   0.1252   0.0590   0.0000    0.0000    0.0000
 0.260   0.1242   0.0620   0.0000    0.0000    0.0000
 0.280   0.1232   0.0650   0.0000    0.0000    0.0000
 0.300   0.1224   0.0680   0.0000    0.0000    0.0000
 0.320   0.1216   0.0710   0.0000    0.0000    0.0000
 0.340   0.1209   0.0740   0.0000    0.0000    0.0000
 0.360   0.1203   0.0770   0.0000    0.0000    0.0000
 0.380   0.1197   0.0799   0.0000    0.0000    0.0000
 0.400   0.1192   0.0829   0.0000    0.0000    0.0000
 0.420   0.1187   0.0859   0.0000    0.0000    0.0000
 0.440   0.1183   0.0889   0.0000    0.0000    0.0000
 0.460   0.1179   0.0918   0.0000    0.0000    0.0000
 0.480   0.1175   0.0948   0.0000    0.0000    0.0000
 0.500   0.1171   0.0978   0.0000    0.0000    0.0000
 0.520   0.1168   0.1007   0.0000    0.0000    0.0000
 0.540   0.1165   0.1037   0.0000    0.0000    0.0000
 0.560   0.1162   0.1066   0.0000    0.0000    0.0000
 0.580   0.1159   0.1096   0.0000    0.0000    0.0000
 0.600   0.1156   0.1125   0.0000    0.0000    0.0000
 0.620   0.1154   0.1155   0.0000    0.0000    0.0000
 0.640   0.1151   0.1184   0.0000    0.0000    0.0000
 0.660   0.1149   0.1214   0.0000    0.0000    0.0000
 0.680   0.1147   0.1243   0.0000    0.0000    0.0000
 0.700   0.1145   0.1273   0.0000    0.0000    0.0000
 0.720   0.1143   0.1302   0.0000    0.0000    0.0000
 0.740   0.1141   0.1331   0.0000    0.0000    0.0000
 0.760   0.1139   0.1361   0.0000    0.0000    0.0000
 0.780   0.1138   0.1390   0.0000    0.0000    0.0000
 0.800   0.1136   0.1419   0.0000    0.0000    0.0000
 0.820   0.1134   0.1449   0.0000    0.0000    0.0000
 0.840   0.1133   0.1478   0.0000    0.0000    0.0000
 0.860   0.1131   0.1507   0.0000    0.0000    0.0000
 0.880   0.1130   0.1537   0.0000    0.0000    0.0000
 0.900   0.1129   0.1566   0.0000    0.0000    0.0000
 0.920   0.1128   0.1595   0.0000    0.0000    0.0000
 0.940   0.1126   0.1625   0.0000    0.0000    0.0000
 0.960   0.1125   0.1654   0.0000    0.0000    0.0000
 0.980   0.1124   0.1683   0.0000    0.0000    0.0000
