   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1684   0.0156   0.0000    0.0000    0.0000
 0.020   0.1602   0.0175   0.0000    0.0000    0.0000
 0.040   0.1493   0.0202   0.0000    0.0000    0.0000
 0.060   0.1416   0.0230   0.0000    0.0000    0.0000
 0.080   0.1360   0.0258   0.0000    0.0000    0.0000
 0.100   0.1319   0.0286   0.0000    0.0000    0.0000
 0.120   0.1287   0.0313   0.0000    0.0000    0.0000
 0.140   0.1261   0.0341   0.0000    0.0000    0.0000
 0.160   0.1240   0.0369   0.0000    0.0000    0.0000
 0.180   0.1223   0.0397   0.0000    0.0000    0.0000
 0.200   0.1208   0.0424   0.0000    0.0000    0.0000
 0.220   0.1196   0.0452   0.0000    0.0000    0.0000
 0.240   0.1185   0.0480   0.0000    0.0000    0.0000
 0.260   0.1175   0.0507   0.0000    0.0000    0.0000
 0.280   0.1167   0.0535   0.0000    0.0000    0.0000
 0.300   0.1160   0.0562   0.0000    0.0000    0.0000
 0.320   0.1153   0.0590   0.0000    0.0000    0.0000
 0.340   0.1147   0.0617   0.0000    0.0000    0.0000
 0.360   0.1142   0.0644   0.0000    0.0000    0.0000
 0.380   0.1137   0.0672   0.0000    0.0000    0.0000
 0.400   0.1132   0.0699   0.0000    0.0000    0.0000
 0.420   0.1128   0.0726   0.0000    0.0000    0.0000
 0.440   0.1124   0.0753   0.0000    0.0000    0.0000
 0.460   0.1121   0.0781   0.0000    0.0000    0.0000
 0.480   0.1117   0.0808   0.0000    0.0000    0.0000
 0.500   0.1114   0.0835   0.0000    0.0000    0.0000
 0.520   0.1111   0.0862   0.0000    0.0000    0.0000
 0.540   0.1109   0.0889   0.0000    0.0000    0.0000
 0.560   0.1106   0.0917   0.0000    0.0000    0.0000
 0.580   0.1104   0.0944   0.0000    0.0000    0.0000
 0.600   0.1102   0.0971   0.0000    0.0000    0.0000
 0.620   0.1100   0.0998   0.0000    0.0000    0.0000
 0.640   0.1098   0.1025   0.0000    0.0000    0.0000
 0.660   0.1096   0.1052   0.0000    0.0000    0.0000
 0.680   0.1094   0.1079   0.0000    0.0000    0.0000
 0.700   0.1093   0.1106   0.0000    0.0000    0.0000
 0.720   0.1091   0.1133   0.0000    0.0000    0.0000
 0.740   0.1089   0.1160   0.0000    0.0000    0.0000
 0.760   0.1088   0.1187   0.0000    0.0000    0.0000
 0.780   0.1087   0.1214   0.0000    0.0000    0.0000
 0.800   0.1085   0.1241   0.0000    0.0000    0.0000
 0.820   0.1084   0.1268   0.0000    0.0000    0.0000
 0.840   0.1083   0.1295   0.0000    0.0000    0.0000
 0.860   0.1082   0.1322   0.0000    0.0000    0.0000
 0.880   0.1081   0.1349   0.0000    0.0000    0.0000
 0.900   0.1080   0.1376   0.0000    0.0000    0.0000
 0.920   0.1079   0.1403   0.0000    0.0000    0.0000
 0.940   0.1078   0.1430   0.0000    0.0000    0.0000
 0.960   0.1077   0.1456   0.0000    0.0000    0.0000
 0.980   0.1076   0.1483   0.0000    0.0000    0.0000
