   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1489   0.0631   0.0000    0.0000    0.0000
 0.020   0.1486   0.0636   0.0000    0.0000    0.0000
 0.040   0.1480   0.0651   0.0000    0.0000    0.0000
 0.060   0.1470   0.0673   0.0000    0.0000    0.0000
 0.080   0.1457   0.0699   0.0000    0.0000    0.0000
 0.100   0.1444   0.0727   0.0000    0.0000    0.0000
 0.120   0.1431   0.0758   0.0000    0.0000    0.0000
 0.140   0.1418   0.0789   0.0000    0.0000    0.0000
 0.160   0.1406   0.0822   0.0000    0.0000    0.0000
 0.180   0.1394   0.0855   0.0000    0.0000    0.0000
 0.200   0.1383   0.0888   0.0000    0.0000    0.0000
 0.220   0.1373   0.0922   0.0000    0.0000    0.0000
 0.240   0.1363   0.0956   0.0000    0.0000    0.0000
 0.260   0.1354   0.0990   0.0000    0.0000    0.0000
 0.280   0.1346   0.1024   0.0000    0.0000    0.0000
 0.300   0.1339   0.1058   0.0000    0.0000    0.0000
 0.320   0.1331   0.1092   0.0000    0.0000    0.0000
 0.340   0.1325   0.1126   0.0000    0.0000    0.0000
 0.360   0.1319   0.1161   0.0000    0.0000    0.0000
 0.380   0.1313   0.1195   0.0000    0.0000    0.0000
 0.400   0.1307   0.1229   0.0000    0.0000    0.0000
 0.420   0.1302   0.1264   0.0000    0.0000    0.0000
 0.440   0.1297   0.1298   0.0000    0.0000    0.0000
 0.460   0.1292   0.1333   0.0000    0.0000    0.0000
 0.480   0.1288   0.1367   0.0000    0.0000    0.0000
 0.500   0.1284   0.1401   0.0000    0.0000    0.0000
 0.520   0.1280   0.1436   0.0000    0.0000    0.0000
 0.540   0.1276   0.1470   0.0000    0.0000    0.0000
 0.560   0.1273   0.1504   0.0000    0.0000    0.0000
 0.580   0.1269   0.1539   0.0000    0.0000    0.0000
 0.600   0.1266   0.1573   0.0000    0.0000    0.0000
 0.620   0.1263   0.1607   0.0000    0.0000    0.0000
 0.640   0.1260   0.1642   0.0000    0.0000    0.0000
 0.660   0.1257   0.1676   0.0000    0.0000    0.0000
 0.680   0.1255   0.1710   0.0000    0.0000    0.0000
 0.700   0.1252   0.1745   0.0000    0.0000    0.0000
 0.720   0.1250   0.1779   0.0000    0.0000    0.0000
 0.740   0.1247   0.1813   0.0000    0.0000    0.0000
 0.760   0.1245   0.1847   0.0000    0.0000    0.0000
 0.780   0.1243   0.1882   0.0000    0.0000    0.0000
 0.800   0.1241   0.1916   0.0000    0.0000    0.0000
 0.820   0.1239   0.1950   0.0000    0.0000    0.0000
 0.840   0.1237   0.1984   0.0000    0.0000    0.0000
 0.860   0.1235   0.2018   0.0000    0.0000    0.0000
 0.880   0.1233   0.2052   0.0000    0.0000    0.0000
 0.900   0.1231   0.2087   0.0000    0.0000    0.0000
 0.920   0.1230   0.2121   0.0000    0.0000    0.0000
 0.940   0.1228   0.2155   0.0000    0.0000    0.0000
 0.960   0.1227   0.2189   0.0000    0.0000    0.0000
 0.980   0.1225   0.2223   0.0000    0.0000    0.0000
