   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1797   0.0096   0.0000    0.0000    0.0000
 0.020   0.1585   0.0117   0.0000    0.0000    0.0000
 0.040   0.1430   0.0143   0.0000    0.0000    0.0000
 0.060   0.1339   0.0168   0.0000    0.0000    0.0000
 0.080   0.1280   0.0194   0.0000    0.0000    0.0000
 0.100   0.1238   0.0220   0.0000    0.0000    0.0000
 0.120   0.1207   0.0245   0.0000    0.0000    0.0000
 0.140   0.1184   0.0270   0.0000    0.0000    0.0000
 0.160   0.1165   0.0296   0.0000    0.0000    0.0000
 0.180   0.1150   0.0321   0.0000    0.0000    0.0000
 0.200   0.1137   0.0346   0.0000    0.0000    0.0000
 0.220   0.1126   0.0371   0.0000    0.0000    0.0000
 0.240   0.1117   0.0397   0.0000    0.0000    0.0000
 0.260   0.1109   0.0422   0.0000    0.0000    0.0000
 0.280   0.1102   0.0447   0.0000    0.0000    0.0000
 0.300   0.1096   0.0472   0.0000    0.0000    0.0000
 0.320   0.1090   0.0497   0.0000    0.0000    0.0000
 0.340   0.1086   0.0522   0.0000    0.0000    0.0000
 0.360   0.1081   0.0547   0.0000    0.0000    0.0000
 0.380   0.1077   0.0572   0.0000    0.0000    0.0000
 0.400   0.1074   0.0597   0.0000    0.0000    0.0000
 0.420   0.1070   0.0621   0.0000    0.0000    0.0000
 0.440   0.1067   0.0646   0.0000    0.0000    0.0000
 0.460   0.1064   0.0671   0.0000    0.0000    0.0000
 0.480   0.1062   0.0696   0.0000    0.0000    0.0000
 0.500   0.1059   0.0721   0.0000    0.0000    0.0000
 0.520   0.1057   0.0746   0.0000    0.0000    0.0000
 0.540   0.1055   0.0770   0.0000    0.0000    0.0000
 0.560   0.1053   0.0795   0.0000    0.0000    0.0000
 0.580   0.1051   0.0820   0.0000    0.0000    0.0000
 0.600   0.1050   0.0845   0.0000    0.0000    0.0000
 0.620   0.1048   0.0870   0.0000    0.0000    0.0000
 0.640   0.1047   0.0894   0.0000    0.0000    0.0000
 0.660   0.1045   0.0919   0.0000    0.0000    0.0000
 0.680   0.1044   0.0944   0.0000    0.0000    0.0000
 0.700   0.1042   0.0968   0.0000    0.0000    0.0000
 0.720   0.1041   0.0993   0.0000    0.0000    0.0000
 0.740   0.1040   0.1018   0.0000    0.0000    0.0000
 0.760   0.1039   0.1042   0.0000    0.0000    0.0000
 0.780   0.1038   0.1067   0.0000    0.0000    0.0000
 0.800   0.1037   0.1092   0.0000    0.0000    0.0000
 0.820   0.1036   0.1116   0.0000    0.0000    0.0000
 0.840   0.1035   0.1141   0.0000    0.0000    0.0000
 0.860   0.1034   0.1166   0.0000    0.0000    0.0000
 0.880   0.1033   0.1190   0.0000    0.0000    0.0000
 0.900   0.1033   0.1215   0.0000    0.0000    0.0000
 0.920   0.1032   0.1240   0.0000    0.0000    0.0000
 0.940   0.1031   0.1264   0.0000    0.0000    0.0000
 0.960   0.1030   0.1289   0.0000    0.0000    0.0000
 0.980   0.1030   0.1313   0.0000    0.0000    0.0000
