   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1932   0.0058   0.0000    0.0000    0.0000
 0.020   0.1516   0.0080   0.0000    0.0000    0.0000
 0.040   0.1335   0.0103   0.0000    0.0000    0.0000
 0.060   0.1243   0.0126   0.0000    0.0000    0.0000
 0.080   0.1188   0.0149   0.0000    0.0000    0.0000
 0.100   0.1151   0.0172   0.0000    0.0000    0.0000
 0.120   0.1125   0.0195   0.0000    0.0000    0.0000
 0.140   0.1105   0.0218   0.0000    0.0000    0.0000
 0.160   0.1089   0.0241   0.0000    0.0000    0.0000
 0.180   0.1077   0.0264   0.0000    0.0000    0.0000
 0.200   0.1066   0.0287   0.0000    0.0000    0.0000
 0.220   0.1058   0.0310   0.0000    0.0000    0.0000
 0.240   0.1051   0.0333   0.0000    0.0000    0.0000
 0.260   0.1044   0.0355   0.0000    0.0000    0.0000
 0.280   0.1039   0.0378   0.0000    0.0000    0.0000
 0.300   0.1034   0.0401   0.0000    0.0000    0.0000
 0.320   0.1030   0.0423   0.0000    0.0000    0.0000
 0.340   0.1026   0.0446   0.0000    0.0000    0.0000
 0.360   0.1023   0.0469   0.0000    0.0000    0.0000
 0.380   0.1020   0.0491   0.0000    0.0000    0.0000
 0.400   0.1017   0.0514   0.0000    0.0000    0.0000
 0.420   0.1015   0.0536   0.0000    0.0000    0.0000
 0.440   0.1012   0.0559   0.0000    0.0000    0.0000
 0.460   0.1010   0.0581   0.0000    0.0000    0.0000
 0.480   0.1008   0.0604   0.0000    0.0000    0.0000
 0.500   0.1007   0.0627   0.0000    0.0000    0.0000
 0.520   0.1005   0.0649   0.0000    0.0000    0.0000
 0.540   0.1003   0.0672   0.0000    0.0000    0.0000
 0.560   0.1002   0.0694   0.0000    0.0000    0.0000
 0.580   0.1001   0.0717   0.0000    0.0000    0.0000
 0.600   0.0999   0.0739   0.0000    0.0000    0.0000
 0.620   0.0998   0.0762   0.0000    0.0000    0.0000
 0.640   0.0997   0.0784   0.0000    0.0000    0.0000
 0.660   0.0996   0.0807   0.0000    0.0000    0.0000
 0.680   0.0995   0.0829   0.0000    0.0000    0.0000
 0.700   0.0994   0.0851   0.0000    0.0000    0.0000
 0.720   0.0993   0.0874   0.0000    0.0000    0.0000
 0.740   0.0992   0.0896   0.0000    0.0000    0.0000
 0.760   0.0991   0.0919   0.0000    0.0000    0.0000
 0.780   0.0991   0.0941   0.0000    0.0000    0.0000
 0.800   0.0990   0.0964   0.0000    0.0000    0.0000
 0.820   0.0989   0.0986   0.0000    0.0000    0.0000
 0.840   0.0989   0.1009   0.0000    0.0000    0.0000
 0.860   0.0988   0.1031   0.0000    0.0000    0.0000
 0.880   0.0987   0.1053   0.0000    0.0000    0.0000
 0.900   0.0987   0.1076   0.0000    0.0000    0.0000
 0.920   0.0986   0.1098   0.0000    0.0000    0.0000
 0.940   0.0986   0.1121   0.0000    0.0000    0.0000
 0.960   0.0985   0.1143   0.0000    0.0000    0.0000
 0.980   0.0985   0.1165   0.0000    0.0000    0.0000
