   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.2080   0.0034   0.0000    0.0000    0.0000
 0.020   0.1403   0.0054   0.0000    0.0000    0.0000
 0.040   0.1221   0.0075   0.0000    0.0000    0.0000
 0.060   0.1140   0.0096   0.0000    0.0000    0.0000
 0.080   0.1093   0.0117   0.0000    0.0000    0.0000
 0.100   0.1063   0.0138   0.0000    0.0000    0.0000
 0.120   0.1042   0.0159   0.0000    0.0000    0.0000
 0.140   0.1027   0.0179   0.0000    0.0000    0.0000
 0.160   0.1015   0.0200   0.0000    0.0000    0.0000
 0.180   0.1006   0.0220   0.0000    0.0000    0.0000
 0.200   0.0998   0.0241   0.0000    0.0000    0.0000
 0.220   0.0992   0.0261   0.0000    0.0000    0.0000
 0.240   0.0986   0.0282   0.0000    0.0000    0.0000
 0.260   0.0982   0.0302   0.0000    0.0000    0.0000
 0.280   0.0978   0.0323   0.0000    0.0000    0.0000
 0.300   0.0974   0.0343   0.0000    0.0000    0.0000
 0.320   0.0971   0.0363   0.0000    0.0000    0.0000
 0.340   0.0969   0.0384   0.0000    0.0000    0.0000
 0.360   0.0966   0.0404   0.0000    0.0000    0.0000
 0.380   0.0964   0.0425   0.0000    0.0000    0.0000
 0.400   0.0962   0.0445   0.0000    0.0000    0.0000
 0.420   0.0960   0.0465   0.0000    0.0000    0.0000
 0.440   0.0959   0.0486   0.0000    0.0000    0.0000
 0.460   0.0957   0.0506   0.0000    0.0000    0.0000
 0.480   0.0956   0.0526   0.0000    0.0000    0.0000
 0.500   0.0955   0.0547   0.0000    0.0000    0.0000
 0.520   0.0953   0.0567   0.0000    0.0000    0.0000
 0.540   0.0952   0.0587   0.0000    0.0000    0.0000
 0.560   0.0951   0.0608   0.0000    0.0000    0.0000
 0.580   0.0950   0.0628   0.0000    0.0000    0.0000
 0.600   0.0950   0.0648   0.0000    0.0000    0.0000
 0.620   0.0949   0.0668   0.0000    0.0000    0.0000
 0.640   0.0948   0.0689   0.0000    0.0000    0.0000
 0.660   0.0947   0.0709   0.0000    0.0000    0.0000
 0.680   0.0947   0.0729   0.0000    0.0000    0.0000
 0.700   0.0946   0.0750   0.0000    0.0000    0.0000
 0.720   0.0945   0.0770   0.0000    0.0000    0.0000
 0.740   0.0945   0.0790   0.0000    0.0000    0.0000
 0.760   0.0944   0.0810   0.0000    0.0000    0.0000
 0.780   0.0944   0.0831   0.0000    0.0000    0.0000
 0.800   0.0943   0.0851   0.0000    0.0000    0.0000
 0.820   0.0943   0.0871   0.0000    0.0000    0.0000
 0.840   0.0942   0.0891   0.0000    0.0000    0.0000
 0.860   0.0942   0.0912   0.0000    0.0000    0.0000
 0.880   0.0941   0.0932   0.0000    0.0000    0.0000
 0.900   0.0941   0.0952   0.0000    0.0000    0.0000
 0.920   0.0941   0.0972   0.0000    0.0000    0.0000
 0.940   0.0940   0.0993   0.0000    0.0000    0.0000
 0.960   0.0940   0.1013   0.0000    0.0000    0.0000
 0.980   0.0940   0.1033   0.0000    0.0000    0.0000
