   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1532   0.0400   0.0000    0.0000    0.0000
 0.020   0.1525   0.0409   0.0000    0.0000    0.0000
 0.040   0.1505   0.0431   0.0000    0.0000    0.0000
 0.060   0.1479   0.0458   0.0000    0.0000    0.0000
 0.080   0.1452   0.0487   0.0000    0.0000    0.0000
 0.100   0.1427   0.0518   0.0000    0.0000    0.0000
 0.120   0.1405   0.0549   0.0000    0.0000    0.0000
 0.140   0.1385   0.0581   0.0000    0.0000    0.0000
 0.160   0.1367   0.0613   0.0000    0.0000    0.0000
 0.180   0.1351   0.0645   0.0000    0.0000    0.0000
 0.200   0.1337   0.0677   0.0000    0.0000    0.0000
 0.220   0.1325   0.0710   0.0000    0.0000    0.0000
 0.240   0.1313   0.0742   0.0000    0.0000    0.0000
 0.260   0.1303   0.0774   0.0000    0.0000    0.0000
 0.280   0.1294   0.0806   0.0000    0.0000    0.0000
 0.300   0.1285   0.0839   0.0000    0.0000    0.0000
 0.320   0.1277   0.0871   0.0000    0.0000    0.0000
 0.340   0.1270   0.0903   0.0000    0.0000    0.0000
 0.360   0.1264   0.0935   0.0000    0.0000    0.0000
 0.380   0.1257   0.0967   0.0000    0.0000    0.0000
 0.400   0.1252   0.1000   0.0000    0.0000    0.0000
 0.420   0.1247   0.1032   0.0000    0.0000    0.0000
 0.440   0.1242   0.1064   0.0000    0.0000    0.0000
 0.460   0.1237   0.1096   0.0000    0.0000    0.0000
 0.480   0.1233   0.1128   0.0000    0.0000    0.0000
 0.500   0.1229   0.1160   0.0000    0.0000    0.0000
 0.520   0.1225   0.1192   0.0000    0.0000    0.0000
 0.540   0.1221   0.1224   0.0000    0.0000    0.0000
 0.560   0.1218   0.1256   0.0000    0.0000    0.0000
 0.580   0.1215   0.1288   0.0000    0.0000    0.0000
 0.600   0.1212   0.1320   0.0000    0.0000    0.0000
 0.620   0.1209   0.1352   0.0000    0.0000    0.0000
 0.640   0.1206   0.1384   0.0000    0.0000    0.0000
 0.660   0.1203   0.1416   0.0000    0.0000    0.0000
 0.680   0.1201   0.1448   0.0000    0.0000    0.0000
 0.700   0.1199   0.1480   0.0000    0.0000    0.0000
 0.720   0.1196   0.1512   0.0000    0.0000    0.0000
 0.740   0.1194   0.1543   0.0000    0.0000    0.0000
 0.760   0.1192   0.1575   0.0000    0.0000    0.0000
 0.780   0.1190   0.1607   0.0000    0.0000    0.0000
 0.800   0.1188   0.1639   0.0000    0.0000    0.0000
 0.820   0.1186   0.1670   0.0000    0.0000    0.0000
 0.840   0.1185   0.1702   0.0000    0.0000    0.0000
 0.860   0.1183   0.1734   0.0000    0.0000    0.0000
 0.880   0.1181   0.1766   0.0000    0.0000    0.0000
 0.900   0.1180   0.1797   0.0000    0.0000    0.0000
 0.920   0.1178   0.1829   0.0000    0.0000    0.0000
 0.940   0.1177   0.1861   0.0000    0.0000    0.0000
 0.960   0.1175   0.1892   0.0000    0.0000    0.0000
 0.980   0.1174   0.1924   0.0000    0.0000    0.0000
