   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.2080   0.0034   0.0000    0.0000    0.0000
 0.020   0.1403   0.0054   0.0000    0.0000    0.0000
 0.040   0.1221   0.0075   0.0000    0.0000    0.0000
 0.060   0.1140   0.0096   0.0000    0.0000    0.0000
 0.080   0.1093   0.0117   0.0000    0.0000    0.0000
 0.100   0.1063   0.0138   0.0000    0.0000    0.0000
 0.120   0.1084   0.0159   0.0000    0.0009    0.5127
 0.140   0.1349   0.0184   0.0000    0.0393    3.3246
 0.160   0.1701   0.0219   0.0002    0.1334    6.0588
 0.180   0.2113   0.0265   0.0006    0.2802    8.5598
 0.200   0.2541   0.0322   0.0013    0.4729   10.6221
 0.220   0.2938   0.0390   0.0025    0.7009   12.0601
 0.240   0.3263   0.0468   0.0042    0.9505   12.7824
 0.260   0.3496   0.0553   0.0063    1.2076   12.8291
 0.280   0.3637   0.0641   0.0090    1.4601   12.3494
 0.300   0.3707   0.0731   0.0122    1.6994   11.5397
 0.320   0.3730   0.0820   0.0158    1.9207   10.5817
 0.340   0.3727   0.0907   0.0198    2.1226    9.6083
 0.360   0.3715   0.0992   0.0243    2.3055    8.6979
 0.380   0.3703   0.1073   0.0290    2.4712    7.8853
 0.400   0.3696   0.1152   0.0341    2.6216    7.1769
 0.420   0.3695   0.1229   0.0395    2.7589    6.5643
 0.440   0.3699   0.1303   0.0452    2.8847    6.0327
 0.460   0.3707   0.1376   0.0510    3.0006    5.5666
 0.480   0.3717   0.1446   0.0572    3.1077    5.1524
 0.500   0.3727   0.1515   0.0635    3.2070    4.7787
 0.520   0.3737   0.1583   0.0700    3.2991    4.4371
 0.540   0.3745   0.1648   0.0767    3.3846    4.1216
 0.560   0.3750   0.1712   0.0835    3.4641    3.8279
 0.580   0.3754   0.1775   0.0905    3.5379    3.5532
 0.600   0.3754   0.1835   0.0977    3.6063    3.2957
 0.620   0.3753   0.1894   0.1049    3.6698    3.0542
 0.640   0.3749   0.1952   0.1123    3.7286    2.8279
 0.660   0.3744   0.2007   0.1198    3.7830    2.6160
 0.680   0.3738   0.2061   0.1275    3.8334    2.4183
 0.700   0.3730   0.2114   0.1352    3.8799    2.2340
 0.720   0.3721   0.2164   0.1430    3.9228    2.0627
 0.740   0.3712   0.2214   0.1509    3.9624    1.9039
 0.760   0.3703   0.2261   0.1588    3.9990    1.7570
 0.780   0.3694   0.2308   0.1669    4.0328    1.6212
 0.800   0.3685   0.2352   0.1750    4.0640    1.4960
 0.820   0.3676   0.2396   0.1831    4.0927    1.3807
 0.840   0.3667   0.2438   0.1913    4.1192    1.2747
 0.860   0.3659   0.2479   0.1996    4.1438    1.1772
 0.880   0.3651   0.2519   0.2079    4.1664    1.0877
 0.900   0.3643   0.2558   0.2163    4.1873    1.0055
 0.920   0.3636   0.2596   0.2247    4.2067    0.9301
 0.940   0.3630   0.2633   0.2331    4.2246    0.8609
 0.960   0.3624   0.2669   0.2415    4.2411    0.7975
 0.980   0.3619   0.2704   0.2500    4.2565    0.7392
