   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1596   0.0251   0.0000    0.0000    0.0000
 0.020   0.1572   0.0266   0.0000    0.0000    0.0000
 0.040   0.1517   0.0292   0.0000    0.0000    0.0000
 0.060   0.1464   0.0320   0.0000    0.0000    0.0000
 0.080   0.1421   0.0350   0.0000    0.0000    0.0000
 0.100   0.1385   0.0380   0.0000    0.0000    0.0000
 0.120   0.1377   0.0410   0.0000    0.0007    0.3662
 0.140   0.1508   0.0445   0.0000    0.0281    2.3747
 0.160   0.1700   0.0489   0.0002    0.0953    4.3277
 0.180   0.1940   0.0545   0.0006    0.2001    6.1142
 0.200   0.2202   0.0611   0.0013    0.3378    7.5872
 0.220   0.2452   0.0689   0.0025    0.5006    8.6144
 0.240   0.2661   0.0777   0.0042    0.6789    9.1303
 0.260   0.2811   0.0871   0.0063    0.8626    9.1636
 0.280   0.2898   0.0969   0.0090    1.0429    8.8210
 0.300   0.2934   0.1068   0.0122    1.2139    8.2427
 0.320   0.2933   0.1167   0.0158    1.3720    7.5584
 0.340   0.2913   0.1263   0.0198    1.5161    6.8631
 0.360   0.2884   0.1357   0.0243    1.6468    6.2128
 0.380   0.2854   0.1448   0.0290    1.7651    5.6324
 0.400   0.2826   0.1537   0.0341    1.8726    5.1264
 0.420   0.2803   0.1622   0.0395    1.9706    4.6888
 0.440   0.2784   0.1706   0.0452    2.0605    4.3090
 0.460   0.2768   0.1788   0.0510    2.1433    3.9762
 0.480   0.2753   0.1868   0.0572    2.2198    3.6803
 0.500   0.2740   0.1946   0.0635    2.2907    3.4133
 0.520   0.2726   0.2023   0.0700    2.3565    3.1694
 0.540   0.2712   0.2098   0.0767    2.4176    2.9440
 0.560   0.2697   0.2171   0.0835    2.4744    2.7342
 0.580   0.2681   0.2243   0.0905    2.5271    2.5380
 0.600   0.2664   0.2312   0.0977    2.5760    2.3541
 0.620   0.2646   0.2381   0.1049    2.6213    2.1816
 0.640   0.2627   0.2447   0.1123    2.6633    2.0199
 0.660   0.2608   0.2512   0.1198    2.7022    1.8686
 0.680   0.2588   0.2575   0.1275    2.7381    1.7273
 0.700   0.2569   0.2637   0.1352    2.7713    1.5957
 0.720   0.2549   0.2697   0.1430    2.8020    1.4734
 0.740   0.2530   0.2755   0.1509    2.8303    1.3600
 0.760   0.2512   0.2812   0.1588    2.8565    1.2550
 0.780   0.2494   0.2867   0.1669    2.8806    1.1580
 0.800   0.2477   0.2921   0.1750    2.9028    1.0686
 0.820   0.2461   0.2974   0.1831    2.9234    0.9862
 0.840   0.2445   0.3025   0.1913    2.9423    0.9105
 0.860   0.2431   0.3075   0.1996    2.9598    0.8409
 0.880   0.2417   0.3124   0.2079    2.9760    0.7769
 0.900   0.2404   0.3172   0.2163    2.9909    0.7182
 0.920   0.2392   0.3219   0.2247    3.0048    0.6644
 0.940   0.2381   0.3265   0.2331    3.0175    0.6150
 0.960   0.2371   0.3310   0.2415    3.0294    0.5696
 0.980   0.2362   0.3354   0.2500    3.0403    0.5280
