   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1489   0.0631   0.0000    0.0000    0.0000
 0.020   0.1486   0.0636   0.0000    0.0000    0.0000
 0.040   0.1480   0.0651   0.0000    0.0000    0.0000
 0.060   0.1470   0.0673   0.0000    0.0000    0.0000
 0.080   0.1457   0.0699   0.0000    0.0000    0.0000
 0.100   0.1444   0.0727   0.0000    0.0000    0.0000
 0.120   0.1444   0.0758   0.0000    0.0006    0.3205
 0.140   0.1525   0.0795   0.0000    0.0246    2.0778
 0.160   0.1649   0.0841   0.0002    0.0834    3.7868
 0.180   0.1809   0.0899   0.0006    0.1751    5.3499
 0.200   0.1989   0.0969   0.0013    0.2956    6.6388
 0.220   0.2169   0.1051   0.0025    0.4380    7.5376
 0.240   0.2324   0.1142   0.0042    0.5941    7.9890
 0.260   0.2441   0.1240   0.0063    0.7548    8.0182
 0.280   0.2515   0.1343   0.0090    0.9126    7.7184
 0.300   0.2551   0.1446   0.0122    1.0621    7.2123
 0.320   0.2559   0.1549   0.0158    1.2005    6.6136
 0.340   0.2551   0.1650   0.0198    1.3266    6.0052
 0.360   0.2534   0.1748   0.0243    1.4409    5.4362
 0.380   0.2515   0.1844   0.0290    1.5445    4.9283
 0.400   0.2497   0.1937   0.0341    1.6385    4.4856
 0.420   0.2481   0.2027   0.0395    1.7243    4.1027
 0.440   0.2467   0.2116   0.0452    1.8030    3.7704
 0.460   0.2455   0.2202   0.0510    1.8754    3.4791
 0.480   0.2444   0.2287   0.0572    1.9423    3.2202
 0.500   0.2433   0.2370   0.0635    2.0044    2.9867
 0.520   0.2422   0.2451   0.0700    2.0619    2.7732
 0.540   0.2409   0.2531   0.0767    2.1154    2.5760
 0.560   0.2396   0.2609   0.0835    2.1651    2.3924
 0.580   0.2382   0.2686   0.0905    2.2112    2.2208
 0.600   0.2367   0.2760   0.0977    2.2540    2.0598
 0.620   0.2350   0.2833   0.1049    2.2936    1.9089
 0.640   0.2333   0.2905   0.1123    2.3304    1.7674
 0.660   0.2316   0.2974   0.1198    2.3644    1.6350
 0.680   0.2298   0.3042   0.1275    2.3958    1.5114
 0.700   0.2280   0.3109   0.1352    2.4249    1.3963
 0.720   0.2263   0.3174   0.1430    2.4517    1.2892
 0.740   0.2245   0.3237   0.1509    2.4765    1.1900
 0.760   0.2228   0.3298   0.1588    2.4994    1.0981
 0.780   0.2212   0.3359   0.1669    2.5205    1.0133
 0.800   0.2196   0.3417   0.1750    2.5400    0.9350
 0.820   0.2181   0.3475   0.1831    2.5579    0.8630
 0.840   0.2167   0.3531   0.1913    2.5745    0.7967
 0.860   0.2153   0.3586   0.1996    2.5898    0.7358
 0.880   0.2140   0.3640   0.2079    2.6040    0.6798
 0.900   0.2128   0.3693   0.2163    2.6171    0.6285
 0.920   0.2117   0.3744   0.2247    2.6292    0.5813
 0.940   0.2107   0.3795   0.2331    2.6403    0.5381
 0.960   0.2097   0.3845   0.2415    2.6507    0.4984
 0.980   0.2088   0.3894   0.2500    2.6603    0.4620
