   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1684   0.0156   0.0000    0.0000    0.0000
 0.020   0.1602   0.0175   0.0000    0.0000    0.0000
 0.040   0.1493   0.0202   0.0000    0.0000    0.0000
 0.060   0.1416   0.0230   0.0000    0.0000    0.0000
 0.080   0.1360   0.0258   0.0000    0.0000    0.0000
 0.100   0.1319   0.0286   0.0000    0.0000    0.0000
 0.120   0.1313   0.0314   0.0000    0.0007    0.3944
 0.140   0.1476   0.0346   0.0000    0.0303    2.5573
 0.160   0.1708   0.0388   0.0002    0.1026    4.6606
 0.180   0.1991   0.0441   0.0006    0.2155    6.5845
 0.200   0.2295   0.0506   0.0013    0.3638    8.1709
 0.220   0.2581   0.0581   0.0025    0.5391    9.2770
 0.240   0.2817   0.0666   0.0042    0.7311    9.8326
 0.260   0.2984   0.0758   0.0063    0.9289    9.8685
 0.280   0.3079   0.0854   0.0090    1.1232    9.4996
 0.300   0.3117   0.0950   0.0122    1.3072    8.8767
 0.320   0.3116   0.1046   0.0158    1.4775    8.1398
 0.340   0.3092   0.1140   0.0198    1.6328    7.3910
 0.360   0.3061   0.1232   0.0243    1.7735    6.6907
 0.380   0.3028   0.1320   0.0290    1.9009    6.0656
 0.400   0.3000   0.1406   0.0341    2.0166    5.5207
 0.420   0.2976   0.1490   0.0395    2.1222    5.0494
 0.440   0.2957   0.1571   0.0452    2.2190    4.6405
 0.460   0.2942   0.1651   0.0510    2.3082    4.2820
 0.480   0.2928   0.1728   0.0572    2.3906    3.9634
 0.500   0.2916   0.1804   0.0635    2.4669    3.6759
 0.520   0.2904   0.1878   0.0700    2.5378    3.4132
 0.540   0.2891   0.1950   0.0767    2.6036    3.1705
 0.560   0.2878   0.2021   0.0835    2.6647    2.9445
 0.580   0.2863   0.2090   0.0905    2.7215    2.7333
 0.600   0.2847   0.2158   0.0977    2.7741    2.5352
 0.620   0.2830   0.2224   0.1049    2.8229    2.3494
 0.640   0.2812   0.2288   0.1123    2.8682    2.1753
 0.660   0.2793   0.2350   0.1198    2.9100    2.0123
 0.680   0.2774   0.2411   0.1275    2.9487    1.8602
 0.700   0.2755   0.2470   0.1352    2.9845    1.7185
 0.720   0.2736   0.2528   0.1430    3.0175    1.5867
 0.740   0.2718   0.2584   0.1509    3.0480    1.4646
 0.760   0.2700   0.2638   0.1588    3.0762    1.3515
 0.780   0.2682   0.2691   0.1669    3.1022    1.2471
 0.800   0.2665   0.2743   0.1750    3.1261    1.1508
 0.820   0.2649   0.2793   0.1831    3.1482    1.0621
 0.840   0.2634   0.2842   0.1913    3.1687    0.9805
 0.860   0.2620   0.2890   0.1996    3.1875    0.9056
 0.880   0.2606   0.2936   0.2079    3.2049    0.8367
 0.900   0.2594   0.2982   0.2163    3.2210    0.7735
 0.920   0.2582   0.3026   0.2247    3.2359    0.7155
 0.940   0.2571   0.3070   0.2331    3.2497    0.6623
 0.960   0.2561   0.3112   0.2415    3.2624    0.6134
 0.980   0.2552   0.3154   0.2500    3.2742    0.5686
