   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1932   0.0058   0.0000    0.0000    0.0000
 0.020   0.1516   0.0080   0.0000    0.0000    0.0000
 0.040   0.1335   0.0103   0.0000    0.0000    0.0000
 0.060   0.1243   0.0126   0.0000    0.0000    0.0000
 0.080   0.1188   0.0149   0.0000    0.0000    0.0000
 0.100   0.1151   0.0172   0.0000    0.0000    0.0000
 0.120   0.1161   0.0196   0.0000    0.0008    0.4661
 0.140   0.1393   0.0224   0.0000    0.0358    3.0223
 0.160   0.1706   0.0261   0.0002    0.1213    5.5080
 0.180   0.2076   0.0309   0.0006    0.2547    7.7817
 0.200   0.2463   0.0368   0.0013    0.4299    9.6565
 0.220   0.2822   0.0439   0.0025    0.6371   10.9637
 0.240   0.3115   0.0519   0.0042    0.8641   11.6204
 0.260   0.3321   0.0606   0.0063    1.0978   11.6628
 0.280   0.3442   0.0697   0.0090    1.3274   11.2268
 0.300   0.3495   0.0789   0.0122    1.5449   10.4907
 0.320   0.3503   0.0880   0.0158    1.7461    9.6197
 0.340   0.3486   0.0969   0.0198    1.9296    8.7348
 0.360   0.3461   0.1056   0.0243    2.0959    7.9072
 0.380   0.3436   0.1140   0.0290    2.2465    7.1685
 0.400   0.3416   0.1221   0.0341    2.3833    6.5245
 0.420   0.3402   0.1300   0.0395    2.5081    5.9675
 0.440   0.3393   0.1377   0.0452    2.6225    5.4842
 0.460   0.3388   0.1451   0.0510    2.7278    5.0606
 0.480   0.3386   0.1524   0.0572    2.8252    4.6840
 0.500   0.3385   0.1595   0.0635    2.9154    4.3442
 0.520   0.3383   0.1665   0.0700    2.9992    4.0337
 0.540   0.3380   0.1733   0.0767    3.0769    3.7469
 0.560   0.3376   0.1799   0.0835    3.1492    3.4799
 0.580   0.3369   0.1863   0.0905    3.2163    3.2302
 0.600   0.3361   0.1926   0.0977    3.2785    2.9961
 0.620   0.3352   0.1988   0.1049    3.3362    2.7766
 0.640   0.3341   0.2047   0.1123    3.3897    2.5708
 0.660   0.3328   0.2105   0.1198    3.4391    2.3782
 0.680   0.3315   0.2161   0.1275    3.4849    2.1984
 0.700   0.3301   0.2216   0.1352    3.5271    2.0309
 0.720   0.3287   0.2269   0.1430    3.5662    1.8752
 0.740   0.3273   0.2320   0.1509    3.6022    1.7309
 0.760   0.3259   0.2370   0.1588    3.6355    1.5972
 0.780   0.3245   0.2418   0.1669    3.6662    1.4738
 0.800   0.3232   0.2465   0.1750    3.6945    1.3600
 0.820   0.3219   0.2511   0.1831    3.7206    1.2552
 0.840   0.3207   0.2555   0.1913    3.7448    1.1588
 0.860   0.3195   0.2599   0.1996    3.7670    1.0702
 0.880   0.3184   0.2641   0.2079    3.7876    0.9888
 0.900   0.3174   0.2682   0.2163    3.8066    0.9141
 0.920   0.3165   0.2722   0.2247    3.8242    0.8456
 0.940   0.3156   0.2761   0.2331    3.8405    0.7827
 0.960   0.3148   0.2799   0.2415    3.8556    0.7250
 0.980   0.3140   0.2836   0.2500    3.8695    0.6720
