   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1532   0.0400   0.0000    0.0000    0.0000
 0.020   0.1525   0.0409   0.0000    0.0000    0.0000
 0.040   0.1505   0.0431   0.0000    0.0000    0.0000
 0.060   0.1479   0.0458   0.0000    0.0000    0.0000
 0.080   0.1452   0.0487   0.0000    0.0000    0.0000
 0.100   0.1427   0.0518   0.0000    0.0000    0.0000
 0.120   0.1422   0.0549   0.0000    0.0006    0.3418
 0.140   0.1526   0.0586   0.0000    0.0262    2.2164
 0.160   0.1682   0.0632   0.0002    0.0889    4.0392
 0.180   0.1880   0.0690   0.0006    0.1868    5.7065
 0.200   0.2101   0.0758   0.0013    0.3153    7.0814
 0.220   0.2315   0.0839   0.0025    0.4672    8.0401
 0.240   0.2497   0.0928   0.0042    0.6337    8.5216
 0.260   0.2630   0.1025   0.0063    0.8051    8.5527
 0.280   0.2710   0.1125   0.0090    0.9734    8.2330
 0.300   0.2746   0.1227   0.0122    1.1329    7.6931
 0.320   0.2749   0.1328   0.0158    1.2805    7.0545
 0.340   0.2734   0.1427   0.0198    1.4151    6.4056
 0.360   0.2710   0.1523   0.0243    1.5370    5.7986
 0.380   0.2685   0.1616   0.0290    1.6474    5.2569
 0.400   0.2661   0.1707   0.0341    1.7477    4.7846
 0.420   0.2641   0.1795   0.0395    1.8393    4.3762
 0.440   0.2623   0.1882   0.0452    1.9232    4.0218
 0.460   0.2608   0.1966   0.0510    2.0004    3.7111
 0.480   0.2595   0.2048   0.0572    2.0718    3.4349
 0.500   0.2582   0.2129   0.0635    2.1380    3.1858
 0.520   0.2569   0.2208   0.0700    2.1994    2.9581
 0.540   0.2555   0.2285   0.0767    2.2564    2.7477
 0.560   0.2540   0.2361   0.0835    2.3094    2.5519
 0.580   0.2524   0.2435   0.0905    2.3586    2.3688
 0.600   0.2507   0.2507   0.0977    2.4042    2.1972
 0.620   0.2490   0.2578   0.1049    2.4465    2.0361
 0.640   0.2471   0.2647   0.1123    2.4857    1.8852
 0.660   0.2452   0.2714   0.1198    2.5220    1.7440
 0.680   0.2433   0.2780   0.1275    2.5556    1.6122
 0.700   0.2414   0.2844   0.1352    2.5866    1.4893
 0.720   0.2395   0.2906   0.1430    2.6152    1.3752
 0.740   0.2376   0.2967   0.1509    2.6416    1.2693
 0.760   0.2358   0.3026   0.1588    2.6660    1.1713
 0.780   0.2341   0.3084   0.1669    2.6885    1.0808
 0.800   0.2324   0.3140   0.1750    2.7093    0.9974
 0.820   0.2308   0.3195   0.1831    2.7285    0.9205
 0.840   0.2293   0.3249   0.1913    2.7462    0.8498
 0.860   0.2279   0.3302   0.1996    2.7625    0.7848
 0.880   0.2265   0.3353   0.2079    2.7776    0.7251
 0.900   0.2253   0.3403   0.2163    2.7915    0.6704
 0.920   0.2241   0.3453   0.2247    2.8044    0.6201
 0.940   0.2230   0.3501   0.2331    2.8164    0.5740
 0.960   0.2220   0.3548   0.2415    2.8274    0.5316
 0.980   0.2211   0.3595   0.2500    2.8377    0.4928
