   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1797   0.0096   0.0000    0.0000    0.0000
 0.020   0.1585   0.0117   0.0000    0.0000    0.0000
 0.040   0.1430   0.0143   0.0000    0.0000    0.0000
 0.060   0.1339   0.0168   0.0000    0.0000    0.0000
 0.080   0.1280   0.0194   0.0000    0.0000    0.0000
 0.100   0.1238   0.0220   0.0000    0.0000    0.0000
 0.120   0.1239   0.0245   0.0000    0.0008    0.4273
 0.140   0.1436   0.0276   0.0000    0.0328    2.7705
 0.160   0.1708   0.0315   0.0002    0.1112    5.0490
 0.180   0.2035   0.0365   0.0006    0.2335    7.1332
 0.200   0.2381   0.0427   0.0013    0.3941    8.8518
 0.220   0.2704   0.0500   0.0025    0.5840   10.0501
 0.240   0.2968   0.0583   0.0042    0.7921   10.6520
 0.260   0.3152   0.0672   0.0063    1.0064   10.6909
 0.280   0.3259   0.0766   0.0090    1.2168   10.2912
 0.300   0.3302   0.0860   0.0122    1.4162    9.6164
 0.320   0.3302   0.0954   0.0158    1.6006    8.8181
 0.340   0.3280   0.1045   0.0198    1.7688    8.0069
 0.360   0.3249   0.1134   0.0243    1.9213    7.2483
 0.380   0.3218   0.1220   0.0290    2.0593    6.5711
 0.400   0.3191   0.1304   0.0341    2.1847    5.9808
 0.420   0.3170   0.1385   0.0395    2.2991    5.4702
 0.440   0.3155   0.1464   0.0452    2.4039    5.0272
 0.460   0.3143   0.1541   0.0510    2.5005    4.6389
 0.480   0.3133   0.1616   0.0572    2.5898    4.2936
 0.500   0.3125   0.1690   0.0635    2.6725    3.9822
 0.520   0.3116   0.1761   0.0700    2.7492    3.6976
 0.540   0.3107   0.1832   0.0767    2.8205    3.4347
 0.560   0.3096   0.1900   0.0835    2.8868    3.1899
 0.580   0.3085   0.1967   0.0905    2.9482    2.9610
 0.600   0.3071   0.2032   0.0977    3.0053    2.7464
 0.620   0.3057   0.2095   0.1049    3.0582    2.5452
 0.640   0.3041   0.2157   0.1123    3.1072    2.3565
 0.660   0.3025   0.2217   0.1198    3.1525    2.1800
 0.680   0.3008   0.2276   0.1275    3.1945    2.0152
 0.700   0.2991   0.2333   0.1352    3.2332    1.8617
 0.720   0.2973   0.2388   0.1430    3.2690    1.7190
 0.740   0.2956   0.2441   0.1509    3.3020    1.5866
 0.760   0.2939   0.2493   0.1588    3.3325    1.4641
 0.780   0.2923   0.2544   0.1669    3.3607    1.3510
 0.800   0.2907   0.2593   0.1750    3.3866    1.2467
 0.820   0.2892   0.2641   0.1831    3.4106    1.1506
 0.840   0.2878   0.2688   0.1913    3.4327    1.0622
 0.860   0.2865   0.2733   0.1996    3.4531    0.9810
 0.880   0.2852   0.2778   0.2079    3.4720    0.9064
 0.900   0.2840   0.2821   0.2163    3.4894    0.8379
 0.920   0.2829   0.2863   0.2247    3.5055    0.7751
 0.940   0.2819   0.2905   0.2331    3.5205    0.7174
 0.960   0.2810   0.2945   0.2415    3.5343    0.6645
 0.980   0.2801   0.2984   0.2500    3.5471    0.6160
