   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1532   0.0400   0.0000    0.0000    0.0000
 0.020   0.1525   0.0409   0.0000    0.0000    0.0000
 0.040   0.1505   0.0431   0.0000    0.0000    0.0000
 0.060   0.1479   0.0458   0.0000    0.0000    0.0000
 0.080   0.1452   0.0487   0.0000    0.0000    0.0000
 0.100   0.1427   0.0518   0.0000    0.0000    0.0000
 0.120   0.1401   0.0549  -0.0000   -0.0001   -0.0824
 0.140   0.1351   0.0580  -0.0000   -0.0063   -0.5336
 0.160   0.1292   0.0608  -0.0000   -0.0214   -0.9648
 0.180   0.1226   0.0635  -0.0001   -0.0445   -1.3356
 0.200   0.1162   0.0658  -0.0003   -0.0740   -1.5933
 0.220   0.1109   0.0680  -0.0006   -0.1072   -1.6911
 0.240   0.1079   0.0701  -0.0010   -0.1405   -1.6079
 0.260   0.1077   0.0722  -0.0014   -0.1704   -1.3583
 0.280   0.1105   0.0745  -0.0020   -0.1940   -0.9859
 0.300   0.1158   0.0770  -0.0026   -0.2094   -0.5473
 0.320   0.1230   0.0800  -0.0032   -0.2158   -0.0947
 0.340   0.1314   0.0833  -0.0039   -0.2133    0.3329
 0.360   0.1401   0.0871  -0.0045   -0.2028    0.7120
 0.380   0.1488   0.0913  -0.0051   -0.1852    1.0316
 0.400   0.1570   0.0959  -0.0056   -0.1619    1.2891
 0.420   0.1644   0.1008  -0.0060   -0.1341    1.4872
 0.440   0.1710   0.1060  -0.0064   -0.1028    1.6312
 0.460   0.1766   0.1115  -0.0067   -0.0691    1.7275
 0.480   0.1813   0.1172  -0.0068   -0.0340    1.7828
 0.500   0.1849   0.1230  -0.0069    0.0019    1.8038
 0.520   0.1877   0.1290  -0.0068    0.0380    1.7965
 0.540   0.1896   0.1350  -0.0066    0.0736    1.7666
 0.560   0.1908   0.1411  -0.0064    0.1085    1.7191
 0.580   0.1913   0.1472  -0.0060    0.1423    1.6584
 0.600   0.1912   0.1533  -0.0055    0.1748    1.5882
 0.620   0.1906   0.1593  -0.0049    0.2058    1.5117
 0.640   0.1896   0.1653  -0.0043    0.2353    1.4316
 0.660   0.1882   0.1712  -0.0035    0.2631    1.3499
 0.680   0.1867   0.1770  -0.0027    0.2892    1.2682
 0.700   0.1849   0.1827  -0.0018    0.3138    1.1881
 0.720   0.1830   0.1883  -0.0008    0.3368    1.1102
 0.740   0.1810   0.1939   0.0002    0.3582    1.0355
 0.760   0.1789   0.1993   0.0013    0.3782    0.9642
 0.780   0.1768   0.2046   0.0025    0.3968    0.8968
 0.800   0.1747   0.2099   0.0037    0.4141    0.8333
 0.820   0.1727   0.2150   0.0050    0.4302    0.7738
 0.840   0.1707   0.2200   0.0063    0.4451    0.7183
 0.860   0.1687   0.2250   0.0076    0.4589    0.6666
 0.880   0.1668   0.2298   0.0090    0.4718    0.6186
 0.900   0.1650   0.2346   0.0105    0.4837    0.5740
 0.920   0.1633   0.2392   0.0119    0.4948    0.5328
 0.940   0.1616   0.2438   0.0134    0.5050    0.4947
 0.960   0.1600   0.2484   0.0150    0.5146    0.4595
 0.980   0.1585   0.2528   0.0165    0.5234    0.4271
