   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1489   0.0631   0.0000    0.0000    0.0000
 0.020   0.1486   0.0636   0.0000    0.0000    0.0000
 0.040   0.1480   0.0651   0.0000    0.0000    0.0000
 0.060   0.1470   0.0673   0.0000    0.0000    0.0000
 0.080   0.1457   0.0699   0.0000    0.0000    0.0000
 0.100   0.1444   0.0727   0.0000    0.0000    0.0000
 0.120   0.1428   0.0758  -0.0000   -0.0001   -0.0773
 0.140   0.1392   0.0788  -0.0000   -0.0059   -0.5003
 0.160   0.1347   0.0817  -0.0000   -0.0200   -0.9045
 0.180   0.1296   0.0844  -0.0001   -0.0417   -1.2521
 0.200   0.1244   0.0869  -0.0003   -0.0694   -1.4937
 0.220   0.1201   0.0892  -0.0006   -0.1005   -1.5854
 0.240   0.1174   0.0915  -0.0010   -0.1317   -1.5074
 0.260   0.1171   0.0937  -0.0014   -0.1597   -1.2734
 0.280   0.1192   0.0962  -0.0020   -0.1819   -0.9243
 0.300   0.1235   0.0989  -0.0026   -0.1963   -0.5131
 0.320   0.1294   0.1021  -0.0032   -0.2023   -0.0888
 0.340   0.1363   0.1056  -0.0039   -0.2000    0.3121
 0.360   0.1436   0.1096  -0.0045   -0.1901    0.6675
 0.380   0.1509   0.1140  -0.0051   -0.1737    0.9671
 0.400   0.1579   0.1188  -0.0056   -0.1518    1.2086
 0.420   0.1643   0.1240  -0.0060   -0.1257    1.3943
 0.440   0.1700   0.1294  -0.0064   -0.0964    1.5293
 0.460   0.1749   0.1352  -0.0067   -0.0648    1.6195
 0.480   0.1790   0.1411  -0.0068   -0.0319    1.6714
 0.500   0.1823   0.1471  -0.0069    0.0018    1.6910
 0.520   0.1848   0.1533  -0.0068    0.0356    1.6842
 0.540   0.1865   0.1596  -0.0066    0.0690    1.6562
 0.560   0.1876   0.1659  -0.0064    0.1017    1.6117
 0.580   0.1881   0.1723  -0.0060    0.1334    1.5548
 0.600   0.1881   0.1786  -0.0055    0.1639    1.4890
 0.620   0.1877   0.1848  -0.0049    0.1929    1.4173
 0.640   0.1868   0.1910  -0.0043    0.2205    1.3421
 0.660   0.1857   0.1972  -0.0035    0.2466    1.2655
 0.680   0.1843   0.2032  -0.0027    0.2712    1.1890
 0.700   0.1828   0.2092  -0.0018    0.2942    1.1138
 0.720   0.1811   0.2151  -0.0008    0.3157    1.0408
 0.740   0.1794   0.2209   0.0002    0.3358    0.9708
 0.760   0.1775   0.2265   0.0013    0.3546    0.9040
 0.780   0.1757   0.2321   0.0025    0.3720    0.8408
 0.800   0.1738   0.2376   0.0037    0.3882    0.7812
 0.820   0.1720   0.2429   0.0050    0.4033    0.7255
 0.840   0.1702   0.2482   0.0063    0.4173    0.6734
 0.860   0.1685   0.2534   0.0076    0.4303    0.6249
 0.880   0.1668   0.2585   0.0090    0.4423    0.5799
 0.900   0.1651   0.2635   0.0105    0.4535    0.5382
 0.920   0.1635   0.2684   0.0119    0.4639    0.4995
 0.940   0.1620   0.2733   0.0134    0.4735    0.4638
 0.960   0.1606   0.2780   0.0150    0.4824    0.4308
 0.980   0.1592   0.2827   0.0165    0.4907    0.4004
