   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1596   0.0251   0.0000    0.0000    0.0000
 0.020   0.1572   0.0266   0.0000    0.0000    0.0000
 0.040   0.1517   0.0292   0.0000    0.0000    0.0000
 0.060   0.1464   0.0320   0.0000    0.0000    0.0000
 0.080   0.1421   0.0350   0.0000    0.0000    0.0000
 0.100   0.1385   0.0380   0.0000    0.0000    0.0000
 0.120   0.1350   0.0410  -0.0000   -0.0002   -0.0883
 0.140   0.1288   0.0439  -0.0000   -0.0068   -0.5718
 0.160   0.1216   0.0465  -0.0000   -0.0229   -1.0337
 0.180   0.1139   0.0490  -0.0001   -0.0477   -1.4310
 0.200   0.1064   0.0511  -0.0003   -0.0793   -1.7071
 0.220   0.1004   0.0531  -0.0006   -0.1148   -1.8119
 0.240   0.0971   0.0549  -0.0010   -0.1505   -1.7228
 0.260   0.0972   0.0568  -0.0014   -0.1825   -1.4553
 0.280   0.1008   0.0589  -0.0020   -0.2078   -1.0563
 0.300   0.1074   0.0612  -0.0026   -0.2243   -0.5864
 0.320   0.1160   0.0639  -0.0032   -0.2312   -0.1015
 0.340   0.1258   0.0670  -0.0039   -0.2286    0.3567
 0.360   0.1361   0.0705  -0.0045   -0.2173    0.7629
 0.380   0.1461   0.0745  -0.0051   -0.1985    1.1053
 0.400   0.1555   0.0788  -0.0056   -0.1735    1.3812
 0.420   0.1640   0.0835  -0.0060   -0.1437    1.5935
 0.440   0.1715   0.0885  -0.0064   -0.1102    1.7477
 0.460   0.1778   0.0937  -0.0067   -0.0741    1.8509
 0.480   0.1830   0.0992  -0.0068   -0.0364    1.9102
 0.500   0.1871   0.1048  -0.0069    0.0021    1.9326
 0.520   0.1902   0.1105  -0.0068    0.0407    1.9248
 0.540   0.1923   0.1163  -0.0066    0.0789    1.8928
 0.560   0.1935   0.1221  -0.0064    0.1163    1.8419
 0.580   0.1940   0.1279  -0.0060    0.1525    1.7769
 0.600   0.1939   0.1338  -0.0055    0.1873    1.7017
 0.620   0.1932   0.1396  -0.0049    0.2205    1.6197
 0.640   0.1920   0.1453  -0.0043    0.2521    1.5338
 0.660   0.1905   0.1509  -0.0035    0.2819    1.4463
 0.680   0.1887   0.1565  -0.0027    0.3099    1.3588
 0.700   0.1867   0.1620  -0.0018    0.3362    1.2729
 0.720   0.1846   0.1674  -0.0008    0.3608    1.1895
 0.740   0.1824   0.1727   0.0002    0.3838    1.1094
 0.760   0.1801   0.1779   0.0013    0.4052    1.0331
 0.780   0.1778   0.1829   0.0025    0.4252    0.9609
 0.800   0.1756   0.1879   0.0037    0.4437    0.8929
 0.820   0.1733   0.1928   0.0050    0.4609    0.8291
 0.840   0.1711   0.1976   0.0063    0.4769    0.7696
 0.860   0.1690   0.2023   0.0076    0.4917    0.7142
 0.880   0.1669   0.2069   0.0090    0.5055    0.6627
 0.900   0.1650   0.2114   0.0105    0.5183    0.6150
 0.920   0.1631   0.2159   0.0119    0.5301    0.5709
 0.940   0.1613   0.2202   0.0134    0.5411    0.5301
 0.960   0.1595   0.2245   0.0150    0.5513    0.4924
 0.980   0.1579   0.2287   0.0165    0.5608    0.4576
