   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1797   0.0096   0.0000    0.0000    0.0000
 0.020   0.1585   0.0117   0.0000    0.0000    0.0000
 0.040   0.1430   0.0143   0.0000    0.0000    0.0000
 0.060   0.1339   0.0168   0.0000    0.0000    0.0000
 0.080   0.1280   0.0194   0.0000    0.0000    0.0000
 0.100   0.1238   0.0220   0.0000    0.0000    0.0000
 0.120   0.1200   0.0245  -0.0000   -0.0002   -0.1030
 0.140   0.1123   0.0269  -0.0000   -0.0079   -0.6670
 0.160   0.1034   0.0291  -0.0000   -0.0267   -1.2060
 0.180   0.0939   0.0310  -0.0001   -0.0556   -1.6695
 0.200   0.0849   0.0327  -0.0003   -0.0925   -1.9916
 0.220   0.0779   0.0342  -0.0006   -0.1340   -2.1139
 0.240   0.0746   0.0356  -0.0010   -0.1756   -2.0099
 0.260   0.0756   0.0370  -0.0014   -0.2130   -1.6978
 0.280   0.0810   0.0385  -0.0020   -0.2425   -1.2324
 0.300   0.0900   0.0403  -0.0026   -0.2617   -0.6841
 0.320   0.1016   0.0425  -0.0032   -0.2697   -0.1184
 0.340   0.1144   0.0452  -0.0039   -0.2667    0.4161
 0.360   0.1276   0.0482  -0.0045   -0.2535    0.8900
 0.380   0.1403   0.0517  -0.0051   -0.2316    1.2895
 0.400   0.1522   0.0555  -0.0056   -0.2024    1.6114
 0.420   0.1628   0.0597  -0.0060   -0.1676    1.8590
 0.440   0.1720   0.0643  -0.0064   -0.1285    2.0390
 0.460   0.1797   0.0690  -0.0067   -0.0864    2.1594
 0.480   0.1861   0.0740  -0.0068   -0.0425    2.2285
 0.500   0.1910   0.0791  -0.0069    0.0024    2.2547
 0.520   0.1947   0.0843  -0.0068    0.0475    2.2457
 0.540   0.1972   0.0897  -0.0066    0.0921    2.2083
 0.560   0.1986   0.0950  -0.0064    0.1357    2.1489
 0.580   0.1992   0.1004  -0.0060    0.1779    2.0730
 0.600   0.1990   0.1057  -0.0055    0.2185    1.9853
 0.620   0.1982   0.1110  -0.0049    0.2573    1.8897
 0.640   0.1968   0.1163  -0.0043    0.2941    1.7895
 0.660   0.1951   0.1215  -0.0035    0.3288    1.6873
 0.680   0.1930   0.1266  -0.0027    0.3616    1.5853
 0.700   0.1907   0.1316  -0.0018    0.3923    1.4851
 0.720   0.1882   0.1365  -0.0008    0.4210    1.3878
 0.740   0.1857   0.1413   0.0002    0.4478    1.2943
 0.760   0.1831   0.1460   0.0013    0.4728    1.2053
 0.780   0.1804   0.1507   0.0025    0.4960    1.1210
 0.800   0.1778   0.1552   0.0037    0.5177    1.0417
 0.820   0.1753   0.1596   0.0050    0.5377    0.9673
 0.840   0.1728   0.1639   0.0063    0.5564    0.8979
 0.860   0.1704   0.1681   0.0076    0.5737    0.8332
 0.880   0.1681   0.1723   0.0090    0.5897    0.7732
 0.900   0.1658   0.1763   0.0105    0.6046    0.7175
 0.920   0.1637   0.1803   0.0119    0.6185    0.6660
 0.940   0.1617   0.1842   0.0134    0.6313    0.6184
 0.960   0.1597   0.1880   0.0150    0.6432    0.5744
 0.980   0.1579   0.1918   0.0165    0.6543    0.5338
