   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.2080   0.0034   0.0000    0.0000    0.0000
 0.020   0.1403   0.0054   0.0000    0.0000    0.0000
 0.040   0.1221   0.0075   0.0000    0.0000    0.0000
 0.060   0.1140   0.0096   0.0000    0.0000    0.0000
 0.080   0.1093   0.0117   0.0000    0.0000    0.0000
 0.100   0.1063   0.0138   0.0000    0.0000    0.0000
 0.120   0.1032   0.0158  -0.0000   -0.0002   -0.1236
 0.140   0.0949   0.0178  -0.0000   -0.0095   -0.8005
 0.160   0.0850   0.0195  -0.0000   -0.0321   -1.4472
 0.180   0.0741   0.0210  -0.0001   -0.0668   -2.0034
 0.200   0.0640   0.0222  -0.0003   -0.1111   -2.3899
 0.220   0.0563   0.0232  -0.0006   -0.1608   -2.5366
 0.240   0.0530   0.0241  -0.0010   -0.2107   -2.4119
 0.260   0.0550   0.0250  -0.0014   -0.2556   -2.0374
 0.280   0.0621   0.0261  -0.0020   -0.2910   -1.4789
 0.300   0.0735   0.0275  -0.0026   -0.3141   -0.8209
 0.320   0.0877   0.0292  -0.0032   -0.3237   -0.1421
 0.340   0.1033   0.0314  -0.0039   -0.3200    0.4994
 0.360   0.1192   0.0340  -0.0045   -0.3042    1.0681
 0.380   0.1345   0.0370  -0.0051   -0.2779    1.5474
 0.400   0.1486   0.0404  -0.0056   -0.2429    1.9337
 0.420   0.1611   0.0441  -0.0060   -0.2011    2.2309
 0.440   0.1720   0.0482  -0.0064   -0.1542    2.4468
 0.460   0.1811   0.0525  -0.0067   -0.1037    2.5912
 0.480   0.1886   0.0570  -0.0068   -0.0510    2.6742
 0.500   0.1944   0.0617  -0.0069    0.0029    2.7057
 0.520   0.1987   0.0665  -0.0068    0.0570    2.6948
 0.540   0.2018   0.0713  -0.0066    0.1105    2.6500
 0.560   0.2036   0.0762  -0.0064    0.1628    2.5787
 0.580   0.2044   0.0812  -0.0060    0.2135    2.4876
 0.600   0.2043   0.0861  -0.0055    0.2622    2.3823
 0.620   0.2036   0.0909  -0.0049    0.3087    2.2676
 0.640   0.2022   0.0957  -0.0043    0.3529    2.1474
 0.660   0.2004   0.1005  -0.0035    0.3946    2.0248
 0.680   0.1982   0.1051  -0.0027    0.4339    1.9024
 0.700   0.1958   0.1097  -0.0018    0.4707    1.7821
 0.720   0.1932   0.1142  -0.0008    0.5052    1.6653
 0.740   0.1905   0.1186   0.0002    0.5374    1.5532
 0.760   0.1877   0.1228   0.0013    0.5673    1.4464
 0.780   0.1849   0.1270   0.0025    0.5952    1.3452
 0.800   0.1822   0.1311   0.0037    0.6212    1.2500
 0.820   0.1794   0.1351   0.0050    0.6453    1.1608
 0.840   0.1768   0.1389   0.0063    0.6677    1.0774
 0.860   0.1743   0.1427   0.0076    0.6884    0.9999
 0.880   0.1718   0.1464   0.0090    0.7077    0.9278
 0.900   0.1694   0.1500   0.0105    0.7256    0.8611
 0.920   0.1672   0.1536   0.0119    0.7422    0.7992
 0.940   0.1650   0.1570   0.0134    0.7576    0.7421
 0.960   0.1630   0.1604   0.0150    0.7719    0.6893
 0.980   0.1611   0.1637   0.0165    0.7852    0.6406
