   rho.    cs2.      P.       f.      mu/T.   chiinv(0,0)
 0.000   0.1684   0.0156   0.0000    0.0000    0.0000
 0.020   0.1602   0.0175   0.0000    0.0000    0.0000
 0.040   0.1493   0.0202   0.0000    0.0000    0.0000
 0.060   0.1416   0.0230   0.0000    0.0000    0.0000
 0.080   0.1360   0.0258   0.0000    0.0000    0.0000
 0.100   0.1319   0.0286   0.0000    0.0000    0.0000
 0.120   0.1280   0.0313  -0.0000   -0.0002   -0.0951
 0.140   0.1209   0.0340  -0.0000   -0.0073   -0.6157
 0.160   0.1128   0.0364  -0.0000   -0.0247   -1.1132
 0.180   0.1040   0.0386  -0.0001   -0.0514   -1.5410
 0.200   0.0957   0.0405  -0.0003   -0.0854   -1.8384
 0.220   0.0892   0.0423  -0.0006   -0.1237   -1.9513
 0.240   0.0858   0.0439  -0.0010   -0.1621   -1.8553
 0.260   0.0864   0.0455  -0.0014   -0.1966   -1.5672
 0.280   0.0908   0.0473  -0.0020   -0.2238   -1.1376
 0.300   0.0986   0.0494  -0.0026   -0.2416   -0.6315
 0.320   0.1087   0.0518  -0.0032   -0.2490   -0.1093
 0.340   0.1201   0.0547  -0.0039   -0.2461    0.3841
 0.360   0.1318   0.0580  -0.0045   -0.2340    0.8216
 0.380   0.1432   0.0617  -0.0051   -0.2137    1.1903
 0.400   0.1538   0.0658  -0.0056   -0.1868    1.4875
 0.420   0.1634   0.0702  -0.0060   -0.1547    1.7160
 0.440   0.1718   0.0750  -0.0064   -0.1186    1.8822
 0.460   0.1788   0.0800  -0.0067   -0.0798    1.9933
 0.480   0.1846   0.0852  -0.0068   -0.0392    2.0571
 0.500   0.1891   0.0905  -0.0069    0.0022    2.0813
 0.520   0.1925   0.0960  -0.0068    0.0438    2.0729
 0.540   0.1948   0.1015  -0.0066    0.0850    2.0384
 0.560   0.1961   0.1071  -0.0064    0.1252    1.9836
 0.580   0.1966   0.1127  -0.0060    0.1642    1.9136
 0.600   0.1964   0.1183  -0.0055    0.2017    1.8326
 0.620   0.1956   0.1239  -0.0049    0.2375    1.7443
 0.640   0.1944   0.1294  -0.0043    0.2714    1.6518
 0.660   0.1927   0.1348  -0.0035    0.3035    1.5575
 0.680   0.1908   0.1401  -0.0027    0.3337    1.4634
 0.700   0.1886   0.1454  -0.0018    0.3621    1.3708
 0.720   0.1863   0.1505  -0.0008    0.3886    1.2810
 0.740   0.1839   0.1556   0.0002    0.4133    1.1948
 0.760   0.1814   0.1605   0.0013    0.4364    1.1126
 0.780   0.1790   0.1653   0.0025    0.4579    1.0348
 0.800   0.1765   0.1701   0.0037    0.4778    0.9615
 0.820   0.1741   0.1747   0.0050    0.4964    0.8929
 0.840   0.1718   0.1793   0.0063    0.5136    0.8288
 0.860   0.1695   0.1837   0.0076    0.5296    0.7691
 0.880   0.1673   0.1881   0.0090    0.5444    0.7137
 0.900   0.1652   0.1924   0.0105    0.5581    0.6624
 0.920   0.1631   0.1966   0.0119    0.5709    0.6148
 0.940   0.1612   0.2007   0.0134    0.5827    0.5708
 0.960   0.1594   0.2048   0.0150    0.5938    0.5302
 0.980   0.1576   0.2088   0.0165    0.6040    0.4928
